id,prompt
600eb8dbf21215cb6475f4c20e811fc8,The president advised the doctor .
1cb395ea048847c5538ed30a89663cb7,The student saw the managers .
d79d346cdafb5cf564ce989318035382,The presidents encouraged the banker .
33afb958c3ccdf3bd357210feadc497b,The senators supported the actor .
d167c2aa5f02876720d2dae97456e3a6,The actors avoided the bankers .
475a8fb1d15cb064e5ee477cc0d5d0db,The senators mentioned the artist .
2f09637f0ffc0971173e9ffa8bfe8143,The managers saw the secretaries .
adb2ec78f7ee6ab4decb9f4d55a3d735,The professor recognized the secretaries .
2da60e514ecbf811f0d82e7715eca992,The author contacted the scientist .
7ef07c65520f160a5957de7b41e7bc99,The athletes recommended the senator .
